"KOD03_097"	"AD06_048"	"WC05_048"	"HS04_048"	"PS12_009"	"GS13_017"	"PWS12_133"	"UP03_048"
"X10401"	41	31	33	40	41	12	24	42
"X10404"	40	30	31	39	40	11	24	39
"X10406"	38	30	32	39	37	12	24	39
"X1041"	41	31	32	40	38	12	24	42
"X10411"	41	31	33	40	41	12	24	42
"X10416"	39	31	32	40	40	12	24	42
"X10418"	38	28	31	36	39	11	24	39
"X10420"	40	29	32	39	39	11	24	36
"X10422"	36	29	28	34	34	11	24	36
"X10423"	35	29	31	37	36	11	24	39
"X10426"	38	30	31	38	38	12	23	41
"X10427"	38	31	33	37	40	12	24	41
"X10430"	38	25	33	34	37	11	23	40
"X10436"	37	29	32	39	39	12	24	39
"X10437"	41	31	33	38	41	12	23	41
"X10439"	41	29	31	38	41	12	24	42
"X10440"	40	31	33	37	37	12	24	38
"X10445"	37	30	31	39	39	12	23	39
"X10451"	37	30	31	39	39	12	23	40
"X10452"	34	27	28	37	36	12	21	36
"X10465"	40	30	31	36	35	12	23	40
"X10467"	40	31	32	39	40	12	24	42
"X10470"	38	30	31	36	40	12	24	39
"X10478"	36	28	31	36	39	11	24	38
"X10486"	38	28	31	38	39	11	24	37
"X10488"	39	28	29	37	40	11	24	39
"X10496"	39	27	29	35	36	12	23	38
"X10498"	38	28	30	37	40	11	24	39
"X10499"	39	31	32	40	41	12	24	42
"X10501"	41	31	33	40	41	12	24	42
"X10505"	35	27	32	38	36	10	24	37
"X10506"	41	31	32	40	41	11	24	42
"X10511"	39	31	33	39	39	12	24	42
"X10521"	38	30	33	38	39	12	24	41
"X10522"	41	31	33	39	41	12	24	42
"X10525"	40	30	32	40	41	12	24	42
"X1053"	37	29	32	40	39	10	23	41
"X10530"	40	28	30	40	39	12	24	41
"X10533"	39	30	30	37	37	11	24	37
"X10535"	41	31	33	40	40	12	24	42
"X10536"	36	28	31	36	37	12	24	38
"X10543"	41	31	33	40	40	12	24	42
"X10544"	41	31	33	40	39	12	24	39
"X10545"	39	29	32	35	39	12	23	40
"X1055"	41	31	33	40	41	12	24	42
"X10553"	41	31	33	40	41	12	23	42
