"KOD03_097"	"AD06_048"	"WC05_048"	"HS04_048"	"PS12_009"	"GS13_017"	"PWS12_133"	"UP03_048"
"X11682"	37	28	33	33	39	11	22	40
"X11685"	39	31	33	40	41	12	24	41
"X1169"	41	31	33	40	41	12	24	42
"X11692"	39	28	30	37	37	11	21	37
"X11693"	29	30	30	31	34	11	21	36
"X11699"	41	31	33	40	41	11	24	42
"X11703"	39	29	32	38	39	12	24	42
"X11704"	40	29	32	40	41	12	24	41
"X11705"	37	26	32	40	33	11	22	36
"X11708"	35	25	26	35	37	10	24	37
"X11709"	40	31	31	39	39	12	24	42
"X11710"	41	30	33	39	41	12	24	42
"X11711"	40	31	32	40	41	12	24	42
"X11716"	35	28	30	38	35	10	23	37
"X11718"	39	27	31	37	39	11	24	35
"X11721"	34	29	32	39	40	12	24	38
"X11722"	41	31	33	40	41	12	24	42
"X11725"	39	31	33	39	41	12	24	42
"X11729"	34	28	26	35	38	11	22	38
"X11735"	40	31	32	40	41	12	24	42
"X11736"	37	29	32	39	39	12	24	39
"X11738"	38	27	29	36	38	11	23	36
"X1174"	40	31	32	39	38	11	24	39
"X11742"	37	30	31	39	35	12	24	41
"X11745"	41	31	31	40	40	12	24	42
"X11748"	36	28	29	37	39	11	24	39
"X11749"	38	29	32	40	39	12	24	40
"X11752"	41	31	32	40	40	12	24	42
"X11753"	39	30	33	40	40	12	24	41
"X11759"	34	30	31	37	33	11	23	37
"X11761"	41	31	32	40	41	12	24	41
"X11764"	41	29	33	40	41	12	24	42
"X11770"	41	31	33	40	41	12	24	42
"X11771"	36	27	32	34	39	11	23	37
"X11772"	41	31	33	40	40	12	24	42
"X11773"	39	28	31	37	40	10	24	40
"X11779"	37	29	28	35	37	11	23	36
"X11790"	40	27	28	37	40	12	23	39
"X11797"	41	31	33	40	41	12	24	42
"X11798"	38	26	31	35	40	11	23	38
"X11799"	40	31	33	40	41	12	24	41
"X11801"	39	30	32	37	41	12	24	42
"X11807"	36	30	31	37	36	12	23	40
"X1181"	40	31	33	39	41	12	24	41
"X11812"	41	31	33	40	41	12	24	42
"X11814"	41	30	32	39	40	12	24	40
"X11815"	41	30	32	38	41	12	22	42
"X11816"	40	30	33	39	41	11	23	42
"X11817"	39	31	31	37	40	12	24	40
"X11822"	36	29	32	40	41	12	24	40
"X11825"	38	28	30	38	37	12	23	40
"X11826"	41	31	33	39	41	12	24	42
"X11828"	38	28	30	37	38	11	24	37
"X11829"	39	28	31	38	39	12	24	40
"X1183"	41	31	33	37	40	12	24	42
"X11836"	36	28	29	39	36	11	23	38
"X11838"	38	28	29	36	38	11	24	39
"X11839"	41	31	33	40	40	12	24	42
"X11844"	41	31	33	39	41	12	24	42
"X1185"	37	30	30	39	40	12	24	42
"X11855"	40	31	33	40	39	12	24	40
"X11856"	40	31	31	40	41	12	24	40
"X11863"	36	28	28	36	39	11	24	38
"X11864"	37	29	32	39	40	10	23	38
"X11866"	38	28	26	35	38	11	23	37
"X11867"	39	30	32	39	39	12	24	40
"X11873"	37	30	32	39	39	12	24	41
"X11874"	41	30	32	40	41	12	24	42
"X11882"	41	30	33	40	40	12	24	41
"X11884"	38	31	31	37	40	12	24	40
"X11887"	41	31	33	40	41	12	24	42
"X11888"	39	28	31	37	40	11	23	39
"X1189"	39	30	33	39	39	12	24	41
"X11892"	40	30	33	40	40	12	24	40
"X11899"	39	27	32	39	40	12	23	40
"X119"	41	31	32	40	41	12	24	42
"X1190"	39	31	32	40	41	11	24	41
"X11907"	38	31	32	39	41	12	24	41
"X11908"	38	28	31	37	38	11	24	37
"X1191"	41	31	33	38	41	12	24	42
"X11914"	40	30	31	38	41	12	24	40
"X11918"	38	28	30	36	38	11	24	37
"X1192"	38	29	31	40	36	11	23	40
"X11924"	35	25	29	36	37	11	24	36
"X11925"	41	31	33	40	41	12	24	42
"X11929"	40	27	33	38	38	11	24	38
"X11935"	40	31	33	40	41	12	23	40
"X11939"	36	28	28	37	37	12	24	39
"X11940"	40	30	33	39	41	12	24	40
"X11953"	40	30	32	39	39	11	23	41
"X11956"	37	29	32	39	39	11	24	39
"X11964"	36	27	29	38	38	11	23	38
"X1197"	41	30	32	40	41	12	24	42
"X11972"	39	30	31	40	38	12	23	42
"X11973"	41	31	33	40	41	12	24	42
"X11976"	37	29	28	40	39	10	23	38
"X1198"	39	27	31	36	40	11	24	38
"X11985"	40	31	33	40	39	12	23	41
"X11991"	41	31	33	40	41	12	24	42
"X11994"	41	31	33	39	40	12	24	42
"X11995"	39	28	31	39	37	12	24	40
"X11998"	39	28	29	37	40	11	24	39
"X1200"	39	30	32	38	41	12	24	41
"X12002"	39	31	32	39	40	11	24	42
"X12004"	36	31	33	36	40	12	24	39
"X12012"	35	28	25	37	37	12	23	39
"X12015"	41	30	31	38	40	12	22	41
"X12016"	36	29	32	37	38	12	24	38
"X12017"	40	31	31	38	39	12	24	41
"X12020"	39	30	32	40	39	12	24	41
"X12022"	36	29	32	39	41	11	24	40
"X12029"	41	29	31	40	40	12	24	40
"X12030"	41	30	32	40	41	12	24	41
"X12031"	41	31	33	40	41	12	24	42
"X12034"	36	29	33	40	35	10	24	39
"X1204"	37	27	29	33	38	11	22	35
"X12040"	41	31	33	39	41	12	24	40
"X12044"	36	30	32	35	39	12	22	38
"X12045"	41	30	29	39	40	12	24	40
"X12050"	41	31	33	40	41	12	24	42
"X12051"	36	30	31	38	37	12	23	37
"X12053"	41	31	33	40	41	12	23	42
"X12056"	36	30	32	39	37	12	21	37
"X12059"	41	31	32	40	41	12	24	42
"X12060"	36	30	32	36	39	12	24	37
"X12065"	41	31	33	40	41	12	24	42
"X12066"	38	28	27	37	39	11	24	39
"X12067"	35	31	30	36	34	12	22	39
"X12069"	40	30	32	39	38	11	24	42
"X12074"	39	31	33	39	41	12	24	41
"X12076"	36	28	29	35	37	10	24	37
"X1208"	37	28	31	37	40	11	24	39
"X121"	38	26	29	38	39	12	23	40
"X1213"	38	29	26	35	37	11	22	38
"X1218"	34	27	31	36	39	9	24	37
"X1226"	39	29	32	35	39	12	24	38
"X1228"	39	28	31	35	40	11	24	38
"X1229"	40	31	33	40	40	12	24	42
"X123"	36	31	31	36	36	12	23	39
"X1230"	41	31	33	40	41	12	24	42
"X1233"	41	31	33	40	41	12	24	42
"X1235"	39	27	32	38	39	11	24	41
"X1236"	36	29	32	39	39	12	24	39
"X1238"	37	27	29	36	39	11	24	38
"X1240"	41	31	33	40	41	12	24	40
"X1246"	39	31	33	39	40	12	24	41
"X1247"	39	30	30	33	36	11	24	36
"X125"	39	29	32	38	38	12	24	41
"X1250"	40	31	33	40	41	12	24	42
"X1254"	37	26	30	35	39	12	22	40
"X1259"	41	31	33	40	41	12	24	42
"X1260"	34	29	31	34	38	11	24	38
"X1264"	38	27	33	39	39	10	23	38
"X1265"	39	31	33	40	41	12	24	42
"X1268"	39	27	30	37	40	11	24	37
"X1269"	39	29	30	40	40	12	23	40
"X1271"	40	30	33	38	39	11	24	41
"X1272"	41	31	33	39	41	12	24	42
"X1273"	35	29	33	40	39	12	23	40
"X1277"	36	29	31	37	41	11	24	41
"X1279"	41	30	32	40	40	12	24	42
"X128"	39	28	31	37	40	11	24	39
"X1282"	40	31	33	40	41	12	24	42
"X1288"	38	28	30	36	38	11	23	39
"X1291"	39	31	33	39	39	11	24	42
"X1295"	41	31	33	40	41	12	24	42
"X1297"	40	30	33	40	41	12	24	41
"X1300"	41	25	28	37	39	10	24	37
"X1301"	38	25	29	40	38	11	22	39
"X1303"	40	31	33	40	41	12	24	42
"X1309"	41	31	33	40	41	12	24	42
"X1310"	41	30	33	40	41	12	24	41
"X1311"	40	30	33	40	41	12	24	41
"X1313"	40	27	31	37	40	12	24	42
"X1315"	41	30	32	38	40	12	22	41
"X1316"	39	30	32	39	41	11	23	42
"X1318"	33	26	25	31	33	10	22	31
"X1319"	34	26	28	36	37	11	22	37
"X1325"	41	31	33	39	40	12	24	42
"X1327"	37	29	32	38	39	12	24	38
"X1328"	30	27	28	36	36	11	24	35
"X1330"	41	30	33	38	39	12	24	40
"X1336"	37	29	29	39	39	12	23	38
"X1339"	40	31	31	38	40	12	24	37
"X134"	40	30	31	36	37	12	24	41
"X1340"	40	31	33	40	41	12	24	40
"X1343"	34	29	30	38	37	12	23	39
"X1344"	40	31	29	35	40	12	24	40
"X1348"	39	28	30	36	40	11	24	39
"X1349"	41	31	32	40	40	12	24	41
"X1353"	39	26	29	38	40	10	24	36
"X1355"	34	29	28	39	38	11	23	38
"X1358"	36	28	30	36	39	11	23	37
"X136"	36	29	32	39	38	12	24	39
"X1361"	41	30	32	40	40	12	24	42
"X1365"	39	28	28	37	38	10	24	38
"X1368"	32	25	31	34	36	9	23	36
"X1370"	41	31	33	40	41	12	22	42
"X1379"	41	31	32	40	40	12	23	42
"X1381"	41	28	27	38	40	11	23	40
"X1383"	35	26	31	35	40	11	20	36
"X1389"	39	30	33	37	38	11	24	40
"X139"	40	30	32	40	40	12	24	41
"X1392"	39	30	33	39	41	12	24	42
"X1394"	38	28	29	36	40	11	22	39
"X1396"	41	31	32	39	40	12	24	41
"X1397"	39	27	32	38	36	11	24	38
"X140"	37	30	30	38	36	10	21	33
"X1403"	36	31	33	38	40	11	24	40
"X1404"	41	31	33	40	40	12	24	41
"X1406"	36	27	30	37	33	11	23	38
"X1408"	39	28	30	36	40	11	24	38
"X1410"	40	31	32	38	39	12	23	40
"X1412"	35	28	30	39	37	11	23	39
"X1414"	40	31	33	40	41	12	24	42
"X1416"	37	31	31	38	41	12	24	40
"X1421"	40	30	33	40	41	12	24	40
"X1423"	36	30	31	37	35	12	24	38
"X1426"	41	31	33	37	41	12	24	41
"X1427"	41	30	32	40	41	12	24	41
"X1428"	39	28	31	36	39	11	24	38
"X1430"	41	31	33	40	41	11	24	42
"X1436"	37	29	31	37	39	12	24	39
"X1438"	38	27	29	36	39	11	24	39
"X1439"	41	31	33	39	41	12	23	42
"X1444"	40	29	33	39	40	12	24	36
"X1445"	41	31	33	40	41	12	24	39
"X1446"	39	31	32	40	38	12	24	41
"X1448"	39	28	31	37	40	11	24	39
"X1450"	41	31	33	40	40	12	24	42
"X1454"	40	29	33	40	39	10	24	40
"X1463"	37	30	29	38	39	12	24	38
"X1469"	38	28	32	40	39	11	22	40
"X1471"	41	31	33	40	41	12	24	42
"X1476"	40	30	33	39	38	11	23	40
"X148"	38	28	28	36	37	11	24	38
"X1480"	41	30	32	36	41	12	24	40
"X1481"	41	30	31	40	41	12	24	41
"X1484"	35	26	29	36	35	11	22	36
"X1485"	40	31	33	40	40	12	24	42
"X1486"	38	28	31	38	39	11	24	38
"X1495"	40	31	32	40	40	12	24	42
"X15"	41	31	32	39	41	12	22	42
"X1500"	41	31	33	40	41	12	24	41
"X1501"	38	28	29	38	39	12	22	39
"X1502"	40	31	33	40	41	12	23	42
"X1503"	41	31	33	40	39	12	24	42
"X1508"	37	28	30	35	38	11	23	38
"X151"	38	30	30	39	39	12	24	40
"X1516"	40	30	33	39	39	12	24	40
"X1517"	39	29	31	36	39	11	23	41
"X1519"	41	31	33	40	41	12	24	42
"X152"	34	30	32	37	39	11	23	39
"X1522"	39	30	31	39	41	12	24	38
"X1524"	37	27	29	38	38	12	24	35
"X1530"	41	30	32	39	40	12	24	41
"X1531"	41	31	33	40	41	12	24	41
"X1539"	38	29	32	39	38	12	23	42
"X154"	41	30	31	40	40	11	24	40
"X1542"	41	31	33	39	41	12	24	42
"X1549"	40	30	33	40	41	12	24	42
"X1553"	39	31	33	38	38	12	24	39
"X1558"	38	28	29	36	36	11	23	38
"X1563"	36	27	27	37	36	11	23	37
"X1565"	40	31	33	40	41	12	24	42
"X1566"	39	28	25	36	39	11	23	39
"X1567"	39	31	30	39	39	11	24	37
"X1568"	38	27	30	36	40	11	24	38
"X1569"	37	29	31	39	36	10	23	37
"X1570"	41	31	33	40	41	12	24	42
"X1571"	40	31	33	40	41	12	24	41
"X1573"	40	31	32	40	40	12	24	41
"X1577"	41	31	32	37	40	11	24	41
"X1578"	36	28	31	36	39	11	24	38
"X1579"	34	28	31	36	37	11	24	39
"X1581"	40	31	33	40	40	12	24	41
"X1582"	41	31	33	40	40	12	24	42
"X1587"	40	31	32	38	38	11	24	41
"X1596"	41	31	32	40	41	12	24	42
"X1598"	38	28	30	37	39	11	24	38
"X16"	40	31	33	40	41	12	24	42
"X1601"	41	31	33	40	41	12	24	41
"X1603"	41	31	33	40	40	12	24	42
"X161"	41	31	28	39	41	12	23	40
"X1610"	41	30	33	40	41	12	24	41
"X1612"	41	31	33	39	40	12	24	42
"X1613"	39	31	32	40	41	12	24	42
"X1614"	38	31	30	38	37	12	23	40
"X1615"	40	27	32	34	40	12	22	41
"X1616"	37	30	31	38	38	10	24	39
"X1617"	40	31	32	38	40	12	24	41
"X1619"	37	30	31	39	39	12	24	39
"X1622"	35	29	31	35	34	12	23	36
"X1626"	41	31	31	40	40	12	24	42
"X1628"	39	28	31	37	40	11	24	39
"X1629"	38	27	31	37	38	12	24	40
"X1633"	40	31	32	40	41	12	24	41
"X1637"	39	31	31	37	40	11	23	41
"X1640"	39	28	31	38	39	11	23	37
"X1642"	41	31	31	38	41	12	24	40
"X1644"	41	31	33	40	41	12	24	42
"X1646"	37	29	32	39	36	12	23	36
"X1648"	33	28	30	36	39	10	23	35
"X1649"	41	31	33	39	40	12	24	42
"X165"	40	30	28	40	40	12	23	39
"X1652"	41	31	33	40	41	12	24	42
"X1653"	41	29	33	39	41	12	24	40
"X1654"	37	30	30	40	35	12	23	39
"X1658"	39	28	31	37	40	11	24	39
"X166"	39	28	27	37	39	11	24	39
"X1660"	37	27	32	36	34	11	23	39
"X1665"	36	30	30	37	36	10	23	36
"X1671"	41	31	33	40	41	12	24	42
"X1677"	41	31	33	40	41	12	24	42
"X1680"	37	28	31	36	38	11	23	38
"X1686"	38	27	29	38	36	11	23	37
"X1692"	39	28	30	37	37	11	21	37
"X1693"	31	30	31	32	37	12	21	37
"X1694"	39	30	31	40	38	12	23	39
"X1696"	41	31	32	40	41	12	23	42
"X1697"	37	28	31	38	39	11	23	38
"X17"	40	31	32	38	40	12	24	41
"X1708"	37	26	27	36	37	11	24	38
"X1709"	40	31	32	40	40	12	24	42
"X1712"	41	31	33	40	41	12	24	42
"X1718"	39	28	31	37	39	11	24	35
"X1724"	34	26	28	36	36	12	24	36
"X1725"	39	31	33	39	41	12	24	42
"X1726"	41	31	33	40	41	12	24	42
"X1727"	37	30	30	39	36	12	24	35
"X1731"	39	31	33	34	38	12	23	41
"X1736"	37	29	32	39	39	12	24	39
"X1749"	41	29	32	40	40	12	24	41
"X1751"	37	29	29	35	38	11	22	40
"X1756"	39	31	33	39	39	12	23	41
"X1757"	37	30	32	36	40	11	24	41
"X1759"	35	30	31	39	34	11	23	37
"X1760"	41	31	33	40	41	12	24	41
"X1761"	41	31	32	40	41	12	24	41
"X1763"	34	29	27	36	33	11	24	37
"X1767"	40	30	32	40	41	12	23	42
"X1770"	41	31	33	40	41	12	24	42
"X1774"	39	29	28	33	36	11	22	40
"X1779"	41	31	32	39	40	12	24	40
"X178"	36	28	31	36	39	11	24	39
"X1785"	39	30	31	40	38	12	24	40
"X1789"	35	30	30	37	36	12	23	36
"X179"	40	31	30	40	40	11	24	42
"X1793"	36	29	32	36	39	11	23	38
"X1796"	39	30	31	36	40	10	24	41
"X1799"	41	31	33	40	41	12	24	42
"X18"	39	28	31	37	39	11	24	39
"X1800"	41	29	29	38	34	11	22	41
"X1802"	37	30	30	38	41	11	24	39
"X1804"	37	28	31	39	36	12	24	37
"X1805"	41	31	33	40	40	12	24	41
"X1808"	39	28	31	36	40	11	24	38
"X1810"	40	30	31	35	37	12	23	41
"X1811"	41	31	33	40	41	12	24	42
"X1816"	40	30	33	39	41	11	23	42
"X1818"	36	28	29	35	37	11	23	32
"X1819"	41	30	33	40	41	12	24	42
"X1821"	39	28	32	38	40	12	24	40
"X1823"	36	31	31	37	36	12	24	39
"X1827"	35	26	31	39	39	12	24	39
"X1828"	38	28	31	37	40	11	24	38
"X1829"	41	29	33	40	40	12	24	41
"X183"	41	31	33	40	41	12	24	42
"X1834"	37	29	30	38	39	12	24	40
"X1835"	37	30	33	40	39	12	24	40
"X1836"	37	29	31	39	38	11	24	39
"X1842"	41	30	32	40	40	12	24	41
"X1849"	40	31	32	38	41	12	24	41
"X185"	41	31	33	40	41	12	24	42
"X1852"	39	31	33	39	40	12	24	41
"X1857"	41	31	33	40	41	12	24	41
"X1858"	35	27	30	32	37	9	24	35
"X1861"	41	30	33	40	41	12	24	41
"X1864"	37	29	32	39	40	10	23	39
"X1868"	38	28	30	36	38	11	24	35
"X1872"	41	30	33	40	40	12	24	41
"X1879"	39	31	32	38	39	11	24	42
"X1884"	38	31	31	37	40	12	24	40
"X1886"	38	28	31	38	39	11	24	38
"X1897"	39	31	33	38	40	11	24	39
"X190"	40	31	32	40	41	11	24	42
"X1900"	41	30	33	40	41	12	24	42
"X1904"	41	28	32	40	39	12	24	40
"X1908"	39	28	31	37	40	11	24	39
"X1910"	39	28	32	34	40	12	24	39
"X1922"	41	31	33	40	41	12	24	42
"X1924"	37	26	29	38	38	12	24	36
"X1928"	37	27	30	37	40	11	24	36
"X1929"	41	30	33	39	40	12	24	42
"X1930"	39	30	33	39	40	11	23	42
"X1931"	34	29	30	39	36	12	23	40
"X1932"	34	25	30	37	40	12	22	34
"X1934"	41	31	33	40	41	12	24	42
"X1937"	41	30	32	38	35	12	23	40
"X1938"	38	28	28	35	39	11	24	39
"X1941"	36	29	30	37	35	12	24	39
"X1948"	38	28	31	37	38	10	24	38
"X1951"	35	26	28	33	33	11	22	37
"X1954"	40	31	33	40	41	12	24	41
"X1955"	40	31	33	38	39	12	24	40
"X1956"	37	29	32	39	39	11	24	39
"X1959"	41	31	33	39	41	11	24	41
"X196"	41	31	32	39	41	12	24	42
"X1962"	39	29	31	40	39	11	24	40
"X1967"	40	31	33	40	40	11	24	42
"X1969"	40	30	33	40	41	12	24	42
"X197"	41	31	32	40	41	12	24	42
"X1972"	41	31	33	40	41	12	24	42
"X1977"	41	31	33	40	41	12	24	42
"X1978"	36	28	29	33	37	11	24	39
"X1980"	41	31	33	40	41	12	24	42
"X1983"	40	29	33	39	40	12	24	40
"X1985"	40	31	33	40	40	12	24	42
"X1986"	36	28	31	37	39	11	23	37
"X1987"	41	31	33	40	41	12	24	42
"X1988"	39	27	31	37	39	11	24	38
"X1989"	40	29	33	39	41	12	24	42
"X199"	41	30	31	38	38	12	23	39
"X1991"	41	31	33	40	41	12	24	42
"X1995"	39	30	33	40	40	12	24	41
"X1996"	41	31	32	40	40	12	24	42
"X1999"	39	30	32	39	41	12	24	39
"X2003"	40	31	33	38	39	12	24	42
"X2008"	39	28	31	37	40	11	24	39
"X2009"	38	31	31	38	38	11	24	42
"X201"	39	31	32	39	38	12	24	42
"X2012"	39	30	30	38	39	12	24	40
"X2013"	41	31	32	40	41	12	24	41
"X2016"	36	29	32	38	38	12	24	39
"X2019"	41	31	30	38	37	12	24	39
"X2023"	36	30	31	37	36	11	23	38
"X2028"	35	27	31	37	39	10	24	39
"X203"	40	31	33	40	41	12	24	42
"X2032"	40	31	29	39	39	12	24	41
"X2035"	40	31	31	40	41	12	24	41
"X204"	38	27	29	34	38	11	22	38
"X2047"	40	31	33	40	41	11	24	42
"X2048"	39	28	31	37	40	11	24	39
"X2057"	41	27	29	36	40	11	23	40
"X206"	41	31	33	39	41	12	24	42
"X2061"	37	30	29	39	37	12	24	41
"X2067"	41	31	33	40	41	12	24	42
"X2068"	38	28	30	37	40	11	24	39
"X2069"	41	31	33	40	41	12	24	42
"X207"	34	29	29	37	36	11	22	39
"X2070"	41	31	33	40	41	12	24	42
"X2072"	41	31	33	40	41	12	23	42
"X2076"	37	28	29	36	37	10	24	37
"X2077"	38	29	32	38	38	12	24	42
"X2080"	37	27	30	39	38	12	24	39
"X2081"	41	31	33	40	41	12	24	41
"X2084"	37	27	32	39	38	11	24	42
"X2091"	40	30	33	40	39	12	23	41
"X2093"	35	30	32	36	39	12	23	38
"X2094"	41	30	30	40	41	11	24	41
"X21"	40	30	33	40	41	12	24	42
"X2101"	40	29	29	35	36	10	21	39
"X2108"	35	27	31	34	36	11	23	37
"X2109"	41	31	33	40	41	12	24	42
"X2111"	37	31	32	39	39	11	24	40
"X2113"	34	31	29	40	34	12	24	38
"X212"	41	30	33	40	41	12	24	42
"X2120"	40	31	33	39	41	12	24	42
"X2125"	38	28	32	38	38	12	24	41
"X2126"	40	31	32	38	41	12	24	41
"X2127"	41	31	33	40	41	12	24	40
"X2129"	38	25	32	40	38	12	24	42
"X213"	40	29	28	38	39	12	22	38
"X2131"	40	28	33	39	38	12	24	39
"X2135"	41	30	33	40	40	12	24	41
"X2136"	36	29	32	39	38	12	24	39
"X2141"	35	27	32	37	40	12	24	38
"X2143"	41	31	33	40	41	12	24	42
"X2146"	40	31	33	40	40	12	24	41
"X2149"	38	31	33	39	38	11	23	42
"X2151"	33	26	26	34	38	11	23	37
"X2158"	37	27	28	33	36	10	23	36
"X2163"	37	30	29	37	39	12	24	39
"X2164"	35	31	32	36	37	11	24	40
"X2165"	40	30	28	40	40	12	23	37
"X2167"	41	30	33	39	41	12	24	39
"X2170"	41	31	33	40	41	12	24	42
"X2171"	39	30	33	39	38	12	24	39
"X2172"	41	31	33	40	40	12	24	42
"X2173"	40	31	33	40	41	11	24	39
"X2174"	41	31	30	39	40	12	24	42
"X2181"	36	28	31	40	39	10	24	41
"X2183"	41	31	33	40	41	12	24	42
"X2184"	41	31	33	40	41	12	24	42
"X219"	40	27	32	39	39	12	24	39
"X2190"	40	31	32	39	41	11	24	41
"X2193"	35	29	30	36	34	11	23	37
"X2195"	37	31	32	39	41	12	24	42
"X2197"	41	30	31	38	41	12	24	42
"X220"	41	31	33	40	41	12	24	42
"X2212"	41	30	33	39	41	12	24	42
"X2220"	40	30	32	39	41	12	24	41
"X2224"	34	26	29	37	36	12	24	36
"X2226"	38	31	32	40	39	11	24	42
"X2232"	36	29	32	37	33	10	24	38
"X2233"	39	28	32	39	40	12	24	42
"X2234"	37	29	27	38	38	10	23	40
"X2235"	41	31	33	40	41	12	24	42
"X2239"	37	27	27	37	38	12	23	36
"X2241"	41	31	33	39	40	12	24	42
"X2245"	40	29	31	40	41	11	24	40
"X2249"	41	31	33	40	41	12	24	42
"X2253"	41	31	32	40	40	12	24	42
"X2255"	40	28	33	40	40	12	24	40
"X2268"	38	28	29	37	40	11	23	39
"X227"	41	30	32	39	41	12	23	41
"X2272"	41	31	33	39	41	12	24	42
"X2273"	41	31	33	40	41	12	24	42
"X2279"	41	31	32	40	40	12	24	42
"X228"	39	28	31	35	40	11	24	38
"X2282"	40	29	30	40	39	11	24	40
"X2296"	38	31	32	39	40	12	24	39
"X2299"	41	31	33	40	41	12	23	42
"X23"	36	31	31	37	36	12	24	39
"X2301"	41	31	33	39	41	12	24	40
"X2303"	41	31	33	40	40	12	24	41
"X2307"	41	31	33	40	41	12	24	41
"X231"	41	30	32	39	41	12	24	42
"X2312"	40	29	30	34	38	12	23	37
"X2314"	40	29	30	39	41	12	24	41
"X2316"	39	30	32	40	41	11	23	42
"X232"	38	30	32	37	35	10	24	40
"X2322"	41	31	33	40	41	12	24	42
"X2323"	35	31	29	36	36	12	24	38
"X2324"	37	27	29	38	38	12	24	35
"X2331"	41	31	33	38	41	12	24	41
"X2332"	41	30	32	38	39	12	24	40
"X2334"	37	29	31	36	38	12	23	38
"X2335"	41	31	32	40	40	12	22	42
"X2340"	41	30	33	40	41	12	24	40
"X2343"	40	30	31	40	41	12	24	41
"X2348"	38	28	31	37	40	11	24	39
"X2350"	39	30	29	40	37	12	24	34
"X2353"	40	31	33	40	41	12	24	42
"X2361"	37	27	30	38	37	11	23	35
"X2362"	41	30	33	38	41	12	23	38
"X2366"	32	28	25	35	35	11	23	34
"X2367"	41	31	33	39	41	12	24	42
"X2372"	33	29	30	39	36	11	24	38
"X2376"	40	30	32	36	38	12	24	35
"X2387"	41	31	32	39	41	12	24	42
"X2388"	36	27	28	32	36	10	23	36
"X2389"	39	30	33	38	39	12	24	40
"X239"	37	27	27	38	39	12	23	36
"X2390"	37	28	27	38	37	11	21	35
"X2391"	41	31	32	38	39	12	24	42
"X2394"	39	30	32	39	41	12	23	42
"X2396"	41	31	31	40	40	12	24	38
"X2399"	41	31	33	40	40	12	24	40
"X24"	37	27	29	38	38	12	24	36
"X2402"	40	30	33	37	40	12	24	42
"X2403"	40	31	33	39	40	11	24	42
"X2409"	41	31	32	40	41	12	23	40
"X2410"	41	30	33	39	41	12	24	40
"X2424"	33	25	27	35	35	12	24	35
"X2430"	38	31	32	39	38	12	24	41
"X2431"	33	30	31	36	37	12	24	39
"X2432"	41	31	33	40	41	12	24	42
"X2434"	40	29	33	40	39	12	24	40
"X2441"	41	31	33	40	41	12	24	42
"X2445"	37	27	29	34	35	11	22	38
"X2447"	41	31	33	40	40	12	24	41
"X2449"	38	30	32	38	39	11	24	38
"X2451"	37	30	31	39	39	12	24	40
"X2454"	38	28	31	36	37	10	23	38
"X2458"	35	27	27	36	38	11	22	36
"X2464"	41	30	32	39	41	12	24	42
"X2467"	39	29	30	40	38	12	24	41
"X2469"	38	28	31	39	39	11	22	39
"X247"	39	30	30	33	36	11	24	36
"X2474"	40	31	33	40	41	12	24	42
"X2476"	35	29	32	40	34	11	23	37
"X2477"	38	29	33	39	38	12	24	38
"X248"	39	28	31	33	37	11	23	38
"X2485"	41	30	32	40	41	11	24	38
"X2489"	37	30	33	40	35	12	24	40
"X2491"	39	31	33	40	39	10	23	42
"X2495"	41	31	33	40	41	12	24	42
"X2496"	39	27	28	35	37	12	23	38
"X2497"	39	30	30	37	39	11	24	39
"X2499"	38	29	33	39	39	11	23	40
"X2502"	40	31	32	39	41	12	24	41
"X2503"	41	31	33	40	41	12	24	42
"X2504"	41	31	33	40	41	12	24	41
"X2506"	41	28	31	39	41	11	24	40
"X2513"	38	30	29	38	39	11	23	42
"X2517"	39	31	32	38	37	12	24	39
"X2520"	40	31	32	40	41	12	24	42
"X2526"	41	31	33	40	41	12	24	42
"X2530"	41	31	33	40	41	12	24	42
"X2533"	39	30	32	40	40	12	24	42
"X2542"	41	31	33	40	41	12	24	41
"X255"	41	28	33	40	40	12	24	40
"X2550"	41	31	33	40	41	12	24	42
"X2554"	41	31	32	40	41	11	24	42
"X2559"	41	31	32	40	41	12	24	41
"X256"	35	25	31	35	39	12	21	34
"X257"	40	30	31	40	41	12	23	40
"X2571"	41	31	33	40	41	12	24	42
"X2572"	40	28	33	40	40	12	24	42
"X2573"	40	31	33	40	41	12	24	42
"X2574"	41	31	33	39	40	12	24	41
"X2575"	40	31	33	40	41	12	24	42
"X2577"	40	29	33	39	40	12	24	42
"X2578"	34	26	31	33	37	11	24	36
"X258"	36	28	31	37	38	11	24	38
"X2581"	41	31	33	40	41	12	24	42
"X2583"	37	28	31	37	40	10	24	40
"X2585"	41	31	32	40	41	12	24	42
"X2586"	32	24	30	37	33	11	22	31
"X2588"	35	27	29	35	37	11	24	35
"X2589"	36	30	33	39	41	12	24	41
"X2590"	36	29	33	37	38	12	24	41
"X2594"	41	31	33	40	41	12	24	42
"X2598"	39	28	31	37	40	11	24	39
"X260"	37	31	33	37	40	12	24	38
"X2600"	40	31	32	40	41	12	24	42
"X2601"	37	30	33	39	38	12	24	39
"X2604"	39	31	32	40	40	12	24	40
"X2609"	37	31	31	39	36	12	24	39
"X261"	39	30	32	38	37	11	23	39
"X2611"	41	31	33	40	41	12	24	42
"X2612"	38	30	31	40	38	12	24	41
"X2613"	41	31	31	40	41	12	24	42
"X2618"	39	28	31	37	39	11	23	38
